model;rouge1_f;rouge2_f;rougeL_f
pager_summary_ns3_l0.6;0.2490363999999987;0.04799339999999983;0.14158200000000046
pager_summary_ns3_l0.4;0.24864899999999998;0.04633659999999993;0.14259420000000037
pager_summary_ns3_l0.8;0.24794799999999914;0.049038599999999946;0.1427911999999999
pager_summary_ns2_l0.6;0.24509639999999955;0.04484199999999985;0.1454311999999996
pager_summary_ns2_l0.4;0.2445514000000001;0.04365799999999994;0.14552679999999965
pager_summary_ns2_l0.8;0.24453039999999923;0.04572259999999986;0.14533520000000016
pager_summary_ns3_l0.2;0.24417419999999998;0.04325480000000014;0.1413124000000003
pager_summary_ns2_l0.2;0.23845080000000007;0.04123580000000011;0.14314119999999964
pager_summary_ns5_l0.2;0.2362166000000002;0.044075799999999804;0.1321768000000006
pager_summary_ns5_l0.4;0.2349234000000009;0.04756839999999998;0.13199780000000005
pager_summary_ns5_l0.6;0.23149579999999936;0.04995159999999989;0.13130300000000042
pager_summary_ns5_l0.8;0.2297243999999994;0.050278799999999964;0.13113680000000022
lda_summary_ns3;0.22901540000000087;0.042933400000000066;0.13562540000000012
lda_summary_ns2;0.22787759999999993;0.03947619999999988;0.1365727999999997
lda_summary_ns5;0.21586659999999966;0.045972599999999815;0.12761480000000053
