model,rouge1_f,rouge2_f,rougeL_f
pager_summary_ns5_bw0.0_pw0.0_l0.8_pgNone_modNone_umTrue,0.24371800000000016,0.05207399999999995,0.1456659999999998
pager_summary_ns5_bw0.0_pw0.6_l0.8_pgNone_modNone_umTrue,0.24169000000000024,0.05021799999999994,0.14245000000000005
pager_summary_ns5_bw0.0_pw0.6_l0.8_pgNone_modYes_umTrue,0.24133000000000013,0.044979999999999985,0.13991000000000012
pager_summary_ns5_bw0.0_pw0.0_l0.2_pgNone_modNone_umTrue,0.24102200000000004,0.043663999999999946,0.14079200000000008
pager_summary_ns5_bw0.0_pw0.6_l0.2_pgNone_modNone_umTrue,0.2408679999999999,0.04178199999999992,0.13823600000000005
pager_summary_ns5_bw0.6_pw0.6_l0.2_pgNone_modNone_umTrue,0.24085200000000004,0.04211999999999995,0.1392220000000001
pager_summary_ns5_bw0.0_pw0.0_l0.8_pg10_modYes_umTrue,0.2401099999999999,0.048277999999999946,0.14020399999999994
pager_summary_ns2_bw0.6_pw0.6_l0.2_pg10_modNone_umTrue,0.24005999999999997,0.04393799999999996,0.14831
pager_summary_ns5_bw0.0_pw0.0_l0.8_pgNone_modYes_umTrue,0.23981199999999991,0.047188,0.14046800000000004
pager_summary_ns5_bw0.6_pw0.0_l0.2_pgNone_modNone_umTrue,0.2396600000000003,0.04433799999999996,0.13839000000000018
pager_summary_ns5_bw0.6_pw0.6_l0.2_pg10_modNone_umTrue,0.23959599999999992,0.04856999999999994,0.13895999999999997
pager_summary_ns5_bw0.0_pw0.0_l0.2_pg10_modNone_umTrue,0.23840199999999998,0.04885000000000001,0.13974200000000012
pager_summary_ns5_bw0.0_pw0.6_l0.2_pg10_modNone_umTrue,0.23794200000000013,0.048354,0.137642
pager_summary_ns5_bw0.6_pw0.0_l0.2_pg10_modNone_umTrue,0.23743999999999987,0.04849399999999994,0.13896599999999995
pager_summary_ns2_bw0.6_pw0.0_l0.8_pgNone_modNone_umTrue,0.23715399999999986,0.044485999999999956,0.1484200000000001
pager_summary_ns2_bw0.6_pw0.0_l0.8_pg10_modNone_umTrue,0.23711799999999977,0.04386399999999999,0.1471659999999999
pager_summary_ns5_bw0.6_pw0.6_l0.8_pgNone_modNone_umTrue,0.23691400000000004,0.05080999999999998,0.14111200000000002
pager_summary_ns2_bw0.6_pw0.6_l0.8_pg10_modNone_umTrue,0.2366559999999998,0.042491999999999974,0.14768999999999996
pager_summary_ns5_bw0.0_pw0.0_l0.2_pg10_modYes_umTrue,0.23587800000000003,0.04570199999999998,0.1379160000000001
pager_summary_ns5_bw0.6_pw0.6_l0.8_pgNone_modYes_umTrue,0.23564199999999996,0.046666000000000006,0.13695399999999996
pager_summary_ns5_bw0.0_pw0.6_l0.8_pg10_modYes_umTrue,0.23560000000000011,0.047463999999999985,0.13843400000000003
pager_summary_ns2_bw0.6_pw0.6_l0.8_pg10_modYes_umTrue,0.23545200000000008,0.04064399999999997,0.14609200000000017
pager_summary_ns5_bw0.6_pw0.0_l0.8_pgNone_modNone_umTrue,0.23529200000000008,0.05046199999999999,0.13954399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.8_pg10_modYes_umTrue,0.23528599999999997,0.04206599999999999,0.14701000000000014
pager_summary_ns2_bw0.6_pw0.0_l0.2_pg10_modNone_umTrue,0.23519800000000007,0.04362200000000001,0.14831999999999998
pager_summary_ns5_bw0.0_pw0.6_l0.8_pg10_modNone_umTrue,0.23451000000000002,0.05054799999999997,0.13805799999999996
pager_summary_ns5_bw0.6_pw0.6_l0.8_pg10_modYes_umTrue,0.233784,0.04941400000000001,0.13729400000000003
pager_summary_ns2_bw0.0_pw0.0_l0.2_pg10_modNone_umTrue,0.23369800000000018,0.042092000000000004,0.14509400000000006
pager_summary_ns5_bw0.6_pw0.0_l0.8_pg10_modYes_umTrue,0.23332600000000006,0.04835799999999993,0.13615800000000017
pager_summary_ns2_bw0.0_pw0.6_l0.2_pg10_modNone_umTrue,0.23324400000000028,0.04197399999999996,0.143986
pager_summary_ns5_bw0.6_pw0.0_l0.8_pgNone_modYes_umTrue,0.2332020000000001,0.04529799999999998,0.13530800000000004
pager_summary_ns5_bw0.6_pw0.6_l0.2_pg10_modYes_umTrue,0.23274000000000009,0.04441399999999997,0.13542000000000007
pager_summary_ns5_bw0.6_pw0.6_l0.8_pg10_modNone_umTrue,0.23231600000000002,0.051652,0.13910400000000003
pager_summary_ns5_bw0.6_pw0.0_l0.2_pg10_modYes_umTrue,0.23213000000000011,0.04539799999999995,0.13734000000000007
pager_summary_ns5_bw0.0_pw0.0_l0.8_pg10_modNone_umTrue,0.2316799999999999,0.04863599999999992,0.13694399999999998
pager_summary_ns2_bw0.0_pw0.6_l0.8_pg10_modNone_umTrue,0.23167399999999974,0.03937599999999999,0.14411799999999994
